nom du site; url du site; date; code http; statut; date d'expiration du certificat ssl; validite 
cplr; https://vm.cplr.fr; 2025_6_25_11_36_35; 200; UP; 2025_08_24_13_28_23; valide 
cplr; https://vm.cplr.fr; 2025_6_25_11_36_39; 200; UP; 2025_08_24_13_28_23; valide 
